"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"清空页面 - 确定,内容清除后，返回列表再进入，不显示已清除的内容","41144","清空页面 - 确定,内容清除后，返回列表再进入，不显示已清除的内容","aircases.test_note_page.air","Fri Jun 27 10:44:11 CST 2025","passed","Fri Jun 27 10:44:52 CST 2025","","test_note_page","",""
"书写待办","21553","书写待办","aircases.test_agent.air","Fri Jun 27 09:56:10 CST 2025","passed","Fri Jun 27 09:56:32 CST 2025","","test_agent","",""
"未登录账号创建的笔记，登录账号时，会自动合并到账号中","59304","未登录账号创建的笔记，登录账号时，会自动合并到账号中","aircases.test_aalogin_data_auth.air","Fri Jun 27 09:53:31 CST 2025","passed","Fri Jun 27 09:54:31 CST 2025","","test_aalogin_data_auth","",""
"上传五个文件过程中网络异常弹出提示","21785","上传五个文件过程中网络异常弹出提示","aircases.test_ai_upload.air","Fri Jun 27 10:29:29 CST 2025","broken","Fri Jun 27 10:29:51 CST 2025","","test_ai_upload","",""
"回收站列表ui默认展示 ","8391","回收站列表ui默认展示 ","aircases.test_recycle_bin.air","Fri Jun 27 11:42:33 CST 2025","passed","Fri Jun 27 11:42:41 CST 2025","","test_recycle_bin","",""
"新建笔记，不同位置插入文字","33844","新建笔记，不同位置插入文字","aircases.test_note_tools.air","Fri Jun 27 11:18:47 CST 2025","passed","Fri Jun 27 11:19:21 CST 2025","","test_note_tools","",""
"验证能否成功访问壁纸设置，验证能否选择图片，验证无图片可选择时的处理，添加新墙纸导入.txt文件","47924","验证能否成功访问壁纸设置，验证能否选择图片，验证无图片可选择时的处理，添加新墙纸导入.txt文件","aircases.test_wallpaper.air","Fri Jun 27 12:00:00 CST 2025","passed","Fri Jun 27 12:00:48 CST 2025","","test_wallpaper","",""
"笔记页面-工具栏，手点工具栏","57543","笔记页面-工具栏，手点工具栏","aircases.test_note_tools.air","Fri Jun 27 11:13:03 CST 2025","passed","Fri Jun 27 11:14:00 CST 2025","","test_note_tools","",""
"已登录账号创建的笔记，退出登录后，创建的笔记不会显示在笔记列表中","58367","已登录账号创建的笔记，退出登录后，创建的笔记不会显示在笔记列表中","aircases.test_aalogin_data_auth.air","Fri Jun 27 09:52:33 CST 2025","passed","Fri Jun 27 09:53:31 CST 2025","","test_aalogin_data_auth","",""
"完成未设日期的待办显示，完成已设日期的待办显示","45271","完成未设日期的待办显示，完成已设日期的待办显示","aircases.test_agent.air","Fri Jun 27 10:05:52 CST 2025","passed","Fri Jun 27 10:06:37 CST 2025","","test_agent","",""
"已转写富文本点击回撤，文案整体支持回撤验证,笔记删除再恢复，富文本文案编辑后支持回撤验证","90412","已转写富文本点击回撤，文案整体支持回撤验证,笔记删除再恢复，富文本文案编辑后支持回撤验证","aircases.test_note_rich_text.air","Fri Jun 27 10:50:04 CST 2025","passed","Fri Jun 27 10:51:34 CST 2025","","test_note_rich_text","",""
"当前文件夹可创建多级树形子文件夹验证，十级","102219","当前文件夹可创建多级树形子文件夹验证，十级","aircases.test_notes_create_folder.air","Fri Jun 27 11:26:55 CST 2025","passed","Fri Jun 27 11:28:37 CST 2025","","test_notes_create_folder","",""
"用手点击AI按钮,AI会话窗页面显示","28135","用手点击AI按钮,AI会话窗页面显示","aircases.test_ai.air","Fri Jun 27 10:07:08 CST 2025","passed","Fri Jun 27 10:07:36 CST 2025","","test_ai","",""
"在第一页时，更多设置里插入页面，","27615","在第一页时，更多设置里插入页面，","aircases.test_note_tools.air","Fri Jun 27 11:15:27 CST 2025","passed","Fri Jun 27 11:15:55 CST 2025","","test_note_tools","",""
"未登录账号-阅读应用初始化页面,三个tab页签可来回切换，导入文档","47639","未登录账号-阅读应用初始化页面,三个tab页签可来回切换，导入文档","aircases.test_reading.air","Fri Jun 27 11:36:49 CST 2025","passed","Fri Jun 27 11:37:36 CST 2025","","test_reading","",""
"笔记内删除笔记","14398","笔记内删除笔记","aircases.test_note_tools.air","Fri Jun 27 11:23:43 CST 2025","passed","Fri Jun 27 11:23:58 CST 2025","","test_note_tools","",""
"TODO: 填写描述","18938","TODO: 填写标题","aircases.test_note_page.air","Fri Jun 27 10:46:07 CST 2025","passed","Fri Jun 27 10:46:26 CST 2025","","test_note_page","",""
"我的笔记，默认是列表模式的样式,点击右侧的更多按钮，显示分享笔记、移动分组、重命名、编辑标签、加密笔记、删除按钮","38015","我的笔记，默认是列表模式的样式,点击右侧的更多按钮，显示分享笔记、移动分组、重命名、编辑标签、加密笔记、删除按钮","aircases.test_list_style.air","Fri Jun 27 10:34:06 CST 2025","passed","Fri Jun 27 10:34:44 CST 2025","","test_list_style","",""
"图片编辑页点击右上角取消按钮，图片导入失败校验","47785","图片编辑页点击右上角取消按钮，图片导入失败校验","aircases.test_note_template.air","Fri Jun 27 11:07:19 CST 2025","passed","Fri Jun 27 11:08:06 CST 2025","","test_note_template","",""
"笔记列表不同分组文件夹移动至其他分组下二级文件夹目录验证（移动后该文件夹为第三级）","106523","笔记列表不同分组文件夹移动至其他分组下二级文件夹目录验证（移动后该文件夹为第三级）","aircases.test_ufolder_move.air","Fri Jun 27 11:57:17 CST 2025","passed","Fri Jun 27 11:59:03 CST 2025","","test_ufolder_move","",""
"文件删除二次确认","41765","文件删除二次确认","aircases.test_list_style.air","Fri Jun 27 10:36:24 CST 2025","passed","Fri Jun 27 10:37:06 CST 2025","","test_list_style","",""
"插入不同格式的图片，jpg，并删除图片","28459","插入不同格式的图片，jpg，并删除图片","aircases.test_note_tools.air","Fri Jun 27 11:16:41 CST 2025","passed","Fri Jun 27 11:17:10 CST 2025","","test_note_tools","",""
"录音时返回后，再进入该笔记","54511","录音时返回后，再进入该笔记","aircases.test_note_recording.air","Fri Jun 27 10:48:11 CST 2025","passed","Fri Jun 27 10:49:06 CST 2025","","test_note_recording","",""
"登录未勾选隐私政策和用户协议","58873","登录未勾选隐私政策和用户协议","aircases.test_login.air","Fri Jun 27 10:37:06 CST 2025","passed","Fri Jun 27 10:38:05 CST 2025","","test_login","",""
"按紧迫程度排序-待办-还有十天以上，再按创建时间排序","17663","按紧迫程度排序-待办-还有十天以上，再按创建时间排序","aircases.test_agent.air","Fri Jun 27 10:00:00 CST 2025","broken","Fri Jun 27 10:00:17 CST 2025","","test_agent","",""
"在设置中，手写笔操作中默认选中的是套索功能","14313","在设置中，手写笔操作中默认选中的是套索功能","aircases.test_note_tools.air","Fri Jun 27 11:15:13 CST 2025","passed","Fri Jun 27 11:15:27 CST 2025","","test_note_tools","",""
"重点关注列表,完成的未设日期的待办显示,完成的已设日期的待办显示,已完成的待办再点击左侧勾选","43841","重点关注列表,完成的未设日期的待办显示,完成的已设日期的待办显示,已完成的待办再点击左侧勾选","aircases.test_focus_on_agent.air","Fri Jun 27 10:33:22 CST 2025","passed","Fri Jun 27 10:34:06 CST 2025","","test_focus_on_agent","",""
"ai回答点击摘录到手写区，并进行编辑","45233","ai回答点击摘录到手写区，并进行编辑","aircases.test_ai.air","Fri Jun 27 10:08:31 CST 2025","passed","Fri Jun 27 10:09:16 CST 2025","","test_ai","",""
"查看删除文件夹","23682","查看删除文件夹","aircases.test_recycle_bin.air","Fri Jun 27 11:45:20 CST 2025","passed","Fri Jun 27 11:45:44 CST 2025","","test_recycle_bin","",""
"写作助手页上传文件过程中返回会有test提示","21117","写作助手页上传文件过程中返回会有test提示","aircases.test_ai_upload.air","Fri Jun 27 10:18:44 CST 2025","passed","Fri Jun 27 10:19:05 CST 2025","","test_ai_upload","",""
"TODO: 填写描述","40061","TODO: 填写标题","aircases.test_note_page.air","Fri Jun 27 10:47:31 CST 2025","passed","Fri Jun 27 10:48:11 CST 2025","","test_note_page","",""
"笔记列表文件夹批量移动验证","56656","笔记列表文件夹批量移动验证","aircases.test_ufolder_move.air","Fri Jun 27 11:59:03 CST 2025","passed","Fri Jun 27 12:00:00 CST 2025","","test_ufolder_move","",""
"修改待办内容,在弹窗中点击取消，关闭弹窗,修改待办部分内容，点击确定","35375","修改待办内容,在弹窗中点击取消，关闭弹窗,修改待办部分内容，点击确定","aircases.test_agent.air","Fri Jun 27 09:56:32 CST 2025","passed","Fri Jun 27 09:57:07 CST 2025","","test_agent","",""
"新建二级文件夹删除（不包含文件）恢复验证","63023","新建二级文件夹删除（不包含文件）恢复验证","aircases.test_recycle_bin_recovery.air","Fri Jun 27 11:52:03 CST 2025","passed","Fri Jun 27 11:53:06 CST 2025","","test_recycle_bin_recovery","",""
"点击页面排序，弹出预览缩略视图，显示当前笔记的所有手写页面","34281","点击页面排序，弹出预览缩略视图，显示当前笔记的所有手写页面","aircases.test_note_page.air","Fri Jun 27 10:43:37 CST 2025","passed","Fri Jun 27 10:44:11 CST 2025","","test_note_page","",""
"默认模版二次确认弹窗点击确认，默认模版设置生效校验","52062","默认模版二次确认弹窗点击确认，默认模版设置生效校验","aircases.test_note_template.air","Fri Jun 27 11:01:55 CST 2025","passed","Fri Jun 27 11:02:47 CST 2025","","test_note_template","",""
